,sepal length (cm),petal length (cm),target_class
0,5.1,1.4,1
1,4.9,1.4,1
2,4.7,1.3,1
3,4.6,1.5,1
4,5.0,1.4,1
5,5.4,1.7,1
6,4.6,1.4,1
7,5.0,1.5,1
8,4.4,1.4,1
9,4.9,1.5,1
10,5.4,1.5,1
11,4.8,1.6,1
12,4.8,1.4,1
13,4.3,1.1,1
14,5.8,1.2,1
15,5.7,1.5,1
16,5.4,1.3,1
17,5.1,1.4,1
18,5.7,1.7,1
19,5.1,1.5,1
20,5.4,1.7,1
21,5.1,1.5,1
22,4.6,1.0,1
23,5.1,1.7,1
24,4.8,1.9,1
25,5.0,1.6,1
26,5.0,1.6,1
27,5.2,1.5,1
28,5.2,1.4,1
29,4.7,1.6,1
30,4.8,1.6,1
31,5.4,1.5,1
32,5.2,1.5,1
33,5.5,1.4,1
34,4.9,1.5,1
35,5.0,1.2,1
36,5.5,1.3,1
37,4.9,1.4,1
38,4.4,1.3,1
39,5.1,1.5,1
40,5.0,1.3,1
41,4.5,1.3,1
42,4.4,1.3,1
43,5.0,1.6,1
44,5.1,1.9,1
45,4.8,1.4,1
46,5.1,1.6,1
47,4.6,1.4,1
48,5.3,1.5,1
49,5.0,1.4,1
50,7.0,4.7,-1
51,6.4,4.5,-1
52,6.9,4.9,-1
53,5.5,4.0,-1
54,6.5,4.6,-1
55,5.7,4.5,-1
56,6.3,4.7,-1
57,4.9,3.3,-1
58,6.6,4.6,-1
59,5.2,3.9,-1
60,5.0,3.5,-1
61,5.9,4.2,-1
62,6.0,4.0,-1
63,6.1,4.7,-1
64,5.6,3.6,-1
65,6.7,4.4,-1
66,5.6,4.5,-1
67,5.8,4.1,-1
68,6.2,4.5,-1
69,5.6,3.9,-1
70,5.9,4.8,-1
71,6.1,4.0,-1
72,6.3,4.9,-1
73,6.1,4.7,-1
74,6.4,4.3,-1
75,6.6,4.4,-1
76,6.8,4.8,-1
77,6.7,5.0,-1
78,6.0,4.5,-1
79,5.7,3.5,-1
80,5.5,3.8,-1
81,5.5,3.7,-1
82,5.8,3.9,-1
83,6.0,5.1,-1
84,5.4,4.5,-1
85,6.0,4.5,-1
86,6.7,4.7,-1
87,6.3,4.4,-1
88,5.6,4.1,-1
89,5.5,4.0,-1
90,5.5,4.4,-1
91,6.1,4.6,-1
92,5.8,4.0,-1
93,5.0,3.3,-1
94,5.6,4.2,-1
95,5.7,4.2,-1
96,5.7,4.2,-1
97,6.2,4.3,-1
98,5.1,3.0,-1
99,5.7,4.1,-1
